city_norm,snapshot_year,price_level,price_momentum_3y,y_cagr_10y
ABERNATHY,2000,71610.89623346266,,0.036369286979940574
ABERNATHY,2001,82405.79424126951,,0.019931852204351674
ABERNATHY,2002,87846.96435482804,,0.014962476989770268
ABERNATHY,2003,89595.66439335472,0.07754635394659681,0.013101355744963072
ABERNATHY,2004,92406.90183840536,0.03892027083039773,0.010490620608455847
ABERNATHY,2005,94847.63693244236,0.0258879268815857,0.014228000631598015
ABERNATHY,2006,99326.8617750104,0.03496716870055949,0.013154060985099969
ABERNATHY,2007,104487.46908722632,0.041805389977394025,0.012421074514150865
ABERNATHY,2008,105211.17700761884,0.03517026373711429,0.018785073105688
ABERNATHY,2009,102860.73610288816,0.011721481381050225,0.026064935869020367
ABERNATHY,2010,102358.62659298343,-0.006838032656385495,0.037766122097177446
ABERNATHY,2011,100385.10984111948,-0.015530029865998718,0.05121168557817635
ABERNATHY,2012,101912.3053934754,-0.0030830058257249604,0.05459013621887032
ABERNATHY,2013,102050.69332972776,-0.0010037993659663957,0.05303300961629809
ABERNATHY,2014,102571.63473589602,0.007208370136508879,0.053367655797325275
ABERNATHY,2015,109240.19789994432,0.02341540692615207,0.04414648635095131
ABILENE,2009,106506.84854038834,,0.030668375120754154
ABILENE,2010,105985.42707294,,0.03949265503860322
ABILENE,2011,102788.42923768848,,0.05498220427959599
ABILENE,2012,106264.53717831778,-0.0007589350890545576,0.060641469599455045
ABILENE,2013,111721.68409890975,0.01772499277398132,0.05790208888348536
ABILENE,2014,118172.1184019216,0.04758739417774294,0.053301328445264584
ABILENE,2015,123453.20199577585,0.05124675416019686,0.049530431134387154
ABRAM,2007,58000.322669337744,,0.030409054087492837
ABRAM,2008,55874.54072583824,,0.03958066434900376
ABRAM,2009,61295.396828149474,,0.03523375209580237
ABRAM,2010,67623.87531229935,0.052502691690919256,0.039108766195393274
ABRAM,2011,66005.76745304045,0.05711598391508166,0.054894059056634026
ABRAM,2012,66659.54135961116,0.028359158157591935,0.07282204323093189
ABRAM,2013,69493.56251559564,0.009132454306011395,0.07672384833781143
ABRAM,2014,70312.15684478277,0.02129101644323317,0.07748363703213212
ABRAM,2015,76315.25409961095,0.04612362759032518,0.06697037400285888
ADDISON,2000,205595.3175126707,,0.015388320807320222
ADDISON,2001,204728.8180426867,,0.015030127013883732
ADDISON,2002,207557.3509375221,,0.021269779332995897
ADDISON,2003,208351.50313800515,0.00444880459532393,0.028415766195786674
ADDISON,2004,225000.26273540469,0.03197224099747897,0.027158472213546503
ADDISON,2005,237838.04318035304,0.04644016665659878,0.028415321252340586
ADDISON,2006,250322.31234205447,0.06308414561079911,0.029754011967714655
ADDISON,2007,255030.59960388133,0.042644897558551165,0.03335948658365662
ADDISON,2008,241670.1046064154,0.00534209867734714,0.04145249213550661
ADDISON,2009,248227.87093562176,-0.002796807675499946,0.037458521096435105
ADDISON,2010,239516.18015284985,-0.020703531682756737,0.047854648228491836
ADDISON,2011,237666.6836017817,-0.005552656378712828,0.061907370493724745
ADDISON,2012,256178.6465697733,0.010564710102722197,0.06904493132800749
ADDISON,2013,275729.92202929297,0.04805244076704285,0.0644794633575545
ADDISON,2014,294142.3458927772,0.07365087379926005,0.06151458682214961
ADDISON,2015,314750.6995973694,0.07104551202896636,0.050468563548538015
ADKINS,2000,145142.60003915243,,0.03245195656575106
ADKINS,2001,139710.0485939881,,0.035698623606672975
ADKINS,2002,140750.89219341314,,0.0377879145310569
ADKINS,2003,144376.8871828295,-0.0017616315393991222,0.040328904130265464
ADKINS,2004,163117.8373463044,0.05299086533008546,0.03841472584116512
ADKINS,2005,177088.38257078928,0.07955880762878054,0.037847230410623656
ADKINS,2006,183204.112609916,0.08262781668286823,0.040182990962999376
ADKINS,2007,195692.13043639172,0.06256939330342637,0.03866606899778691
ADKINS,2008,199390.25168842843,0.040330385637484145,0.041103194469830795
ADKINS,2009,198391.0730889087,0.0269019281532219,0.04753667513417681
ADKINS,2010,199753.0480172812,0.006869884293849493,0.056432957510284654
ADKINS,2011,198409.12169966323,-0.0016429149377491514,0.0714149220000524
ADKINS,2012,203956.35643544715,0.009264597337224512,0.07697777843595155
ADKINS,2013,214389.90085289153,0.023851496743066747,0.06879357830126098
ADKINS,2014,237798.89788029972,0.06222389710448417,0.06014707786447393
ADKINS,2015,256758.23311182583,0.07976449914312633,0.051337796523393875
AGUA DULCE,2007,197348.67017577917,,-0.040628017446502684
AGUA DULCE,2008,170255.0595515551,,-0.023648002622205233
AGUA DULCE,2009,171626.3654201636,,-0.017406578424156827
AGUA DULCE,2010,161657.50353446673,-0.06433463338552536,-0.005249520273259978
AGUA DULCE,2011,152176.59758162076,-0.0367272361689821,0.014017095166639404
AGUA DULCE,2012,131528.919557275,-0.08487781822038065,0.039706066583947264
AGUA DULCE,2013,132711.60519463112,-0.06365115710494318,0.042110017048357484
AGUA DULCE,2014,131201.0915230176,-0.04823471650898847,0.044805698306866315
AGUA DULCE,2015,126879.95437795413,-0.011923461946735214,0.046436563899132866
ALAMO,2007,77779.78485785061,,0.011427182976232908
ALAMO,2008,76702.8665854143,,0.020716269833188417
ALAMO,2009,76432.68799029353,,0.024428277627975614
ALAMO,2010,76139.87717864271,-0.007077973926554404,0.04177375965560115
ALAMO,2011,75874.46832902318,-0.0036130702670293946,0.05450112344717639
ALAMO,2012,69827.55997989641,-0.029677926437971625,0.07943880947604431
ALAMO,2013,73085.97864569578,-0.01355252628378889,0.08247125471674233
ALAMO,2014,77809.47810754273,0.008429667290429599,0.07981042884957756
